co je to ?	¿ qué es eso ?
vždy jsem dávala přednost záhadným typům .	siempre me gustaron más los personajes misteriosos .
nikdy jsem neměl rád biologii .	nunca me gustó la biología .
kdyby svět nebyl jaký je , mohl bych věřit kdekomu .	si el mundo no fuera como es , yo podría confiar en cualquiera .
kdykoli najdu něco , co se mi líbí , je to příliš drahé .	cada vez que encuentro algo que me gusta , es demasiado caro .
možná je to pro něho stejné .	quizás sea lo mismo para él .
nevěděla jsem , odkud to přišlo .	no sabía de dónde venía eso .
to se mi nelíbilo .	no me gustaba .
nelíbilo se mi to .	no me gustaba .
chtěl jsi mi povědět o svobodě ?	¿ querías hablarme de libertad ?
potřebuju ti položit hloupou otázku .	necesito hacerte una pregunta tonta .
musím se tě zeptat něco hloupého .	necesito hacerte una pregunta tonta .
líbí se mi světlo svíček .	me gusta la luz de las velas .
kde je problém ?	¿ dónde está el problema ?
to není žádné velké překvapení , nebo ano ?	eso no es ninguna gran sorpresa , ¿ o sí ?
nechtěl jsem , aby se stalo tohle .	yo no quería que pasase esto .
opravdu se musíš ptát , abys znal odpověď ?	¿ realmente necesitas preguntar para saber la respuesta ?
je to překvapení .	es una sorpresa .
jednou na mě zapomeneš .	me olvidarás algún día .
potřebuješ , abych ti dal nějaké peníze ?	¿ necesitas que te dé algo de dinero ?
svět je blázinec .	el mundo es una jaula de locos .
našels mě , kde nikdo nehledal .	me encontraste donde nadie estaba buscando .
našel jsi mne , kde nikdo nehledal .	me encontraste donde nadie estaba buscando .
to se mi moc líbí .	me gusta mucho .
to se mi opravdu líbí .	me gusta mucho .
moc se mi líbí .	me gusta mucho .
děkuji , to je všechno .	gracias , es todo .
děkuji , to je vše .	gracias , es todo .
lépe být nenáviděn pro to , co jsi , než milován pro to , co nejsi .	mejor ser odiado por lo que eres que querido por lo que no eres .
kde můžeme telefonovat ?	¿ dónde podemos telefonear ?
volej policii !	¡ llama a la policía !
moje boty jsou příliš malé , potřebuju nové .	mis zapatos son muy pequeños , necesito otros nuevos .
měl jsi mě poslechnout .	deberías haberme escuchado .
měla jsi mě poslechnout .	deberías haberme escuchado .
když se chce , tak to jde .	querer es poder .
nepravidelná slovesa se učím nerada .	no me gusta aprender los verbos irregulares .
život je krásný !	la vida es bella .
život je krásný .	la vida es bella .
potřebuju tvoji pomoc .	necesito tu ayuda .
svou práci mám opravdu rád .	me gusta mucho mi trabajo .
potřebuji nový počítač .	necesito un nuevo ordenador .
je bohatý , peníze nepotřebuje !	es rico , ¡ no necesita dinero !
cože ? ty ještě neumíš řídit ?	¿ qué ? ¿ todavía no sabes conducir ?
kam jdeš ?	¿ adónde vas ?
kdy se dá říci , že má člověk potíže s alkoholem ?	¿ cuándo se puede decir que una persona tiene problemas con el alcohol ?
loučení jsou vždy smutná .	las despedidas siempre son tristes .
tohle mě baví míň než se starat o děti .	esto me gusta menos que cuidar niños .
potřebujeme sanitku .	necesitamos una ambulancia .
potřebuju tvou radu .	necesito tu consejo .
kdo se směje naposled , ten se směje nejlíp .	quien ríe último , ríe mejor .
odkud jseš ?	¿ de dónde eres ?
kde bydlíš ?	¿ dónde vives ?
obecně řečeno , chlapcům se líbí dlouhovlasá děvčata .	en general a los chicos les gustan las chicas de cabello largo .
nepochybně musíš být po celodenní práci vyčerpaný .	sin duda debes de estar agotado después de trabajar todo el día .
jsi propuštěn .	estás despedido .
to je kniha o hvězdách .	es un libro acerca de las estrellas .
provdal svou dceru za boháče .	él casó a su hija con un hombre rico .
v trojrozměrném prostoru síly jako elektromagnetismus operují jen trojrozměrně a chovají se dle tradičních zákonů fyziky .	en una realidad tridimensional , fuerzas como el electromagnetismo operan sólo tridimensionalmente y se comportan según las leyes tradicionales de la física .
můj šéf zamítnul rozpočet pro nový projekt .	mi jefe rechazó el presupuesto para el nuevo proyecto .
navštívil jsem hrob svého otce .	he visitado la tumba de mi padre .
válka je zločin proti lidskosti .	la guerra es un crimen contra la humanidad .
moje teta má tři děti .	mi tía tiene tres hijos .
pokusili se o atentát na prezidenta .	intentaron asesinar al presidente .
nevím , kde bydlí .	no sé dónde vive .
on by to rád slyšel .	él estaría contento de escuchar eso .
moje hodinky potřebujou opravit .	mi reloj necesita una reparación .
šťastný nový rok !	¡ feliz año nuevo !
život bez lásky nemá žádný smysl .	una vida sin amor no tiene ningún sentido .
fakt potřebuju někoho praštit .	realmente necesito golpear a alguien .
kde jsou mé brýle ?	¿ dónde están mis gafas ?
rád cestuje . já taky .	le gusta viajar . a mí me gusta también .
rád bych , kdyby ses s ním setkal , abys vyslechl jeho názor .	me gustaría que te reunieras con él para que escuches su opinión .
jsi poslední osoba , kterou bych býval myslel , že tu potkám .	eres la última persona que habría pensado encontrar aquí .
toto je , co jsem chtěl .	esto es lo que quería .
není zač .	de nada .
překvapilo nás , když jsme slyšeli , co se stalo .	nos sorprendió escuchar lo que había pasado .
nesmíš tolik jíst .	no debes comer tanto .
potřebuju to do zítřka .	lo necesito antes de mañana .
přál bych si , aby mi psal častěji .	ojalá él me escribiese más seguido .
přála bych si , aby mi psal častěji .	ojalá él me escribiese más seguido .
kéž bychom mohli odejít z tohoto hrozného místa .	ojalá pudiéramos irnos de este horrible lugar .
ta dáma vypadala smutně a unaveně .	la señorita se veía triste , y cansada .
na tu práci nebylo zapotřebí o nic méně než tři sta dolarů .	se necesitaban nada menos que trescientos dólares para ese trabajo .
to dítě dosud neumí používat lžíci .	el bebé todavía no puede usar una cuchara .
kdybych byl měl trochu víc peněz , byl bych to koupil .	si hubiese tenido un poco más de dinero , lo habría comprado .
kdybych měl o trochu víc peněz , koupil bych to .	si hubiese tenido un poco más de dinero , lo habría comprado .
už jdu .	ya voy .
tvé chování má daleko k mým očekáváním .	tu comportamiento está lejos de mis expectativas .
kvůli tomu se nepotřebuješ trápit .	no necesitas preocuparte por causa de eso .
tady bys čekat neměl .	no debes esperar aquí .
co bys udělal na mém místě ?	¿ qué harías tú en mi lugar ?
co bys udělala na mém místě ?	¿ qué harías tú en mi lugar ?
pokusila se o sebevraždu .	ella intentó suicidarse .
zkusila se zabít .	ella intentó suicidarse .
piješ alkohol ?	¿ bebes alcohol ?
promiňte . nemyslel jsem , že je to vaše místo .	discúlpeme . no pensé que fuera su asiento .
miloval ji převelice .	él la quería muchísimo .
dělal , že neposlouchá , co říkám .	fingió no escuchar lo que yo decía .
dělal , že neslyší , co říkám .	fingió no escuchar lo que yo decía .
předstíral , že neslyšel , co jsem řekl .	fingió no escuchar lo que yo decía .
na hraní karet potřebujeme ještě jednu osobu .	para jugar a las cartas necesitamos una persona más .
máš dobrou paměť .	tienes buena memoria .
bolí mě hlava .	me duele la cabeza .
má mnoho chyb , ale i tak se mi líbí .	él tiene muchos defectos , pero aun así me gusta .
bojí se toho psa .	tiene miedo de ese perro .
když ho uslyšíš mluvit francouzsky , bude se ti zdát , že je z francie .	si lo escuchas hablando francés , te parecerá que es de francia .
mám bolest v zádech .	tengo dolor de espalda .
kéž bych byl tak fešný jako on .	ojalá fuera tan guapo como él .
kéž bych byl tak hezký jako on .	ojalá fuera tan guapo como él .
choval se hloupě .	él se comportó estúpidamente .
jeho chování je občas zvláštní .	su comportamiento es extraño a veces .
její otec jí nedovolil jít sama do kina .	su padre no permitió que ella fuera sola al cine .
je možné , že mi lhala .	es posible que ella me haya mentido .
koluje pověst , že si našla nové zaměstnání .	circula el rumor de que ella ha conseguido un nuevo empleo .
můj otec neřídí ze strachu z nehod .	mi padre no conduce por miedo a los accidentes .
obvykle dosáhla , čeho chtěla .	ella conseguía hábilmente lo que quería .
ještě nepřišel .	ella aún no ha venido .
poslouchal s uchem přitisklým ke dveřím .	él escuchaba con la oreja pegada a la puerta .
on mi lhal mnohokrát .	él me ha mentido muchas veces .
mockrát mi lhal .	él me ha mentido muchas veces .
teď zrovna obědvá .	ella está almorzando ahora mismo .
chtěla jim pomoci .	ella quería ayudarlos .
potřebuju službičku .	necesito un favor .
zdá se , že není žádná potřeba jít .	parece que no hay ninguna necesidad de ir .
on má strach z toho psa .	a él le da miedo ese perro .
potřebuješ hodně peněz ?	¿ necesitas mucho dinero ?
řekni mi pravdu .	dime la verdad .
pověz mi pravdu .	dime la verdad .
ať ti to říkám , kolikrát chci , stejně mě neposloucháš .	por más que te lo digo no me escuchas .
motor chcípnul .	el motor se acabó parando .
kéž by se byl zúčastnil přednášky .	ojalá él hubiera participado en la conferencia .
potřebuju někoho , kdo umí francouzsky .	necesito a alguien que sepa hablar francés .
bez tvé pomoci bych neuspěl .	sin tu ayuda yo no habría tenido éxito .
dívka poslouchala hudbu a chlapec četl knihu .	la niña escuchaba música y el niño leía un libro .
seděla pod stromem .	ella estaba sentada bajo un árbol .
není dobré zkoušet vnucovat své myšlenky ostatním .	no está bien intentar imponer las ideas propias a los demás .
zrovna odešla .	ella acaba de salir .
chtěl , aby taxikář odbočil vlevo .	él quería que el taxista girase a la izquierda .
je nutno neztrácet naději .	no hay que perder la esperanza .
oba dva psi spí .	los dos perros duermen .
už měl dorazit .	él ya debería haber llegado .
nezapomeň mi napsat .	no te olvides de escribirme .
rád bych byl žurnalistou .	quisiera ser periodista .
ráda bych byla žurnalistkou .	quisiera ser periodista .
jak se jmenuje tato květina ?	¿ cómo se llama esta flor ?
jak se nazývá tato květina ?	¿ cómo se llama esta flor ?
rozdělili se do skupin o pěti lidech .	se dividieron en grupos de cinco personas .
potřebuješ-li peníze , půjčím ti je .	si necesitas dinero te lo presto .
měl bys navštívit lékaře .	necesitas que te vea un médico .
kéž bych mohl na koncert .	ojalá pudiera ir al concierto .
z toho či onoho důvodu se nevzali .	fuera cual fuera la razón , ellos no se casaron .
nesmíš se mu vysmívat .	no debes burlarte de él .
nedotýkej se mého kole .	no toques mi bicicleta .
neměl jsem utratit tolik peněz .	no debí haber gastado tanto dinero .
na koho čekáš ?	¿ a quién esperas ?
splatil jsem mu peníze , které jsem mu dlužil .	le pagué a él el dinero que le debía .
řidiči musí znát pravidla silničního provozu .	los conductores deben conocer las normas de circulación .
řidiči musejí znát pravidla dopravního provozu .	los conductores deben conocer las normas de circulación .
měsíc je krásný na podzim .	en otoño la luna es bonita .
kéž by zítra pršelo .	ojalá llueva mañana .
ať zítra prší .	ojalá llueva mañana .
stromy už shodily listí .	los árboles ya han soltado las hojas .
jestli potřebuješ slovník , půjčím ti můj starý .	si necesitas un diccionario , te presto el mío viejo .
jak se jmenuje tamhleten pták ?	¿ cómo se llama aquel pájaro ?
jak se nazývá tamhleten pták ?	¿ cómo se llama aquel pájaro ?
jak se říká tamhletomu ptákovi ?	¿ cómo se llama aquel pájaro ?
pokouší se o sebevraždu .	está intentando suicidarse .
k mému překvapení se oženil s překrásnou herečkou .	para mi sorpresa , él se casó con una bellísima actriz .
poslouchejme hudbu .	escuchemos música .
dopiv pivo , objednal si hned další .	acabando de beberse la cerveza , él pidió otra .
kdybych jen byl vyšel z domu o pět minut dříve .	ojalá hubiera salido de casa cinco minutos antes .
kéž bych byl vyšel z domu o pět minut dřív .	ojalá hubiera salido de casa cinco minutos antes .
koupil jsem to včera .	lo compré ayer .
jak se této rybě říká anglicky ?	¿ cómo se llama este pez en inglés ?
zde se nesmí kouřit .	aquí no se puede fumar .
usmáli se jeden na druhého .	se sonrieron el uno al otro .
usmáli se na sebe .	se sonrieron el uno al otro .
potřebujeme víc inflace ?	¿ necesitamos más inflación ?
co oči nevidí , to srdce nebolí .	ojos que no ven , corazón que no siente .
mám strach , že upadnu .	tengo miedo de caer .
bojím se pádu .	tengo miedo de caer .
je zřejmé , že jsi lhal .	es obvio que mentiste .
je zřejmé , že jsi lhala .	es obvio que mentiste .
jak on je !	¡ cómo come !
jak on je .	¡ cómo come !
potřebuji operaci ?	¿ necesito cirugía ?
potřebuje léky , ale nechce je .	él necesita medicación , pero no la quiere .
potřebuje žebřík .	él necesita una escalera .
potřebuje ručník .	él necesita una toalla .
potřebuje deštník .	él necesita un paraguas .
potřebuje brýle .	él necesita gafas .
potřebuje peníze .	él necesita dinero .
kolik potřebuješ ?	¿ cuánto necesitas ?
jsem daleko od stromu .	estoy lejos del árbol .
mám hlad !	¡ tengo hambre !
já jsem lin .	soy lin .
jsem ospalý .	estoy cansado .
cítím bolest v zádech .	siento un dolor en la espalda .
zapomněl jsem .	me olvidé .
zapomněla jsem .	me olvidé .
mám kabát , ale nemám klobouk .	tengo un abrigo , pero no tengo sombrero .
na to nemám čas , a navíc ani nemám peníze .	no tengo tiempo para eso , y además no tengo dinero .
chybíš mi .	te extraño .
potřebuju šálek horké kávy .	necesito una taza de café caliente .
potřebuju lékaře !	¡ necesito un medico !
potřebuju horkou čokoládu .	necesito un chocolate caliente .
potřebuju práci .	necesito un trabajo .
potřebuju zrcadlo , abych se mohl učesat .	necesito un espejo para peinarme .
potřebuju teď hned sestřičku .	necesito una enfermera ahora mismo .
potřebuju náplast .	necesito tiritas .
potřebuju lék proti průjmu .	necesito medicina para la diarrea .
potřebuji léky . kde je lékárna ?	necesito medicamentos . ¿ dónde está la farmacia ?
potřebuji peníze .	necesito dinero .
potřebuji víc času .	necesito más tiempo .
potřebuju prášky na spaní .	necesito medicina para el sueño .
potřebuju nějaký čas na rozmyšlenou .	necesito algún tiempo para pensarlo .
potřebuju klíče .	necesito las llaves .
zbývá nám ještě hodně jídla .	todavía nos queda mucha comida .
kéž bych byl chytrý .	ojalá fuera inteligente .
kéž bych byl tak bohatý jako on .	ojalá fuera tan rico como él .
je to důležité ?	¿ hay algo importante ?
potřeboval jsem tři hodiny , abych napsal tento dopis .	necesité tres horas para escribir esta carta .
zrovna jsem dorazil .	acabo de llegar .
jak se jmenuje tahle řeka ?	¿ cómo se llama este río ?
nezapomeň vrátit knihu do knihovny .	no te olvides de devolver el libro a la biblioteca .
neposlouchej ho , plácá nesmysly .	no le escuches , está diciendo insensateces .
bojí se svého otce .	él tiene miedo de su padre .
děti potřebujou lásku .	los niños necesitan amor .
neměj strach .	no tengas miedo .
poslouchejte , prosím , pozorně .	por favor , escuche con atención .
dívka se třásla strachem .	la niña temblaba de miedo .
slyšel jsi zprávy ?	¿ has escuchado las noticias ?
je mi do zpěvu .	tengo ganas de cantar .
chce se mi zpívat .	tengo ganas de cantar .
jak zvláštní je život !	¡ qué extraña es la vida !
chtěl bych vyměnit peníze .	quisiera cambiar dinero .
jsem ospalá .	estoy cansada .
poslouchejte , co říká učitel .	escuchen lo que dice el profesor .
kéž bych mohl jet do japonska .	ojalá pudiera ir a japón .
dosud jsem nic nenašel .	todavía no he encontrado nada .
ještě jsem nic nenašel .	todavía no he encontrado nada .
divné , že ? už jsme měli dorazit .	extraño , ¿ verdad ? ya deberíamos haber llegado .
divné , že ? už jsme tam měli být .	extraño , ¿ verdad ? ya deberíamos haber llegado .
tys ještě nedojedl ?	¿ todavía no has terminado de comer ?
ty ještě nemáš dojedeno ?	¿ todavía no has terminado de comer ?
poslouchám rádio .	estoy escuchando la radio .
mám hlad , protože jsem nesnídal .	tengo hambre porque no he desayunado .
mám hlad , protože jsem nejedl .	tengo hambre porque no he comido .
mám hlad , protože jsem nejedla .	tengo hambre porque no he comido .
tys ještě nedosnídal ?	¿ todavía no has terminado de desayunar ?
ty jsi ještě nedosnídal ?	¿ todavía no has terminado de desayunar ?
ty ještě nemáš dojedenou snídani ?	¿ todavía no has terminado de desayunar ?
potřebuje kabát .	ella necesita un abrigo .
potřebuje brýle , ale nechce je .	ella necesita gafas pero no las quiere .
chlapec poslouchá hudbu .	el niño está escuchando música .
maso ještě není .	la carne todavía no está .
rodiče poslouchají .	los padres están escuchando .
jejich starší dcera ještě není vdaná .	su hija mayor no está casada todavía .
poslouchají koncert .	están escuchando un concierto .
poslouchají rádio .	están escuchando la radio .
báli se toho velkého psa .	tenían miedo del perro grande .
měli strach z toho velkého psa .	tenían miedo del perro grande .
potřebujeme nůž na máslo .	necesitamos un cuchillo para la mantequilla .
potřebujeme se dohodnout .	necesitamos llegar a un acuerdo .
potřebujeme dosáhnout dohody .	necesitamos llegar a un acuerdo .
co potřebuješ ?	¿ qué necesitas ?
co musím udělat , abys mi věnovala pozornost ?	¿ qué tengo que hacer para que me prestes atención ?
ta židle potřebuje opravit .	esa silla necesita ser reparada .
moje chyba .	mi falta .
nezoufej , ještě není všechno ztraceno .	no desesperes , todavía no está todo perdido .
stromy jsou zelené .	los árboles son verdes .
chybí nůž .	falta un cuchillo .
schází nůž .	falta un cuchillo .
já mám rád psy , ale moje sestra má ráda kočky .	a mí me gustan los perros , pero a mi hermana le gustan los gatos .
stále ještě prší .	todavía llueve .
uvázal psa ke stromu .	el ató al perro a un árbol .
i dobří přátelé musí vynakládat úsilí , aby udrželi své přátelství .	aun los buenos amigos deben hacer un esfuerzo para mantener su amistad .
došel jí papír .	a ella se le acabó el papel .
jdi do prdele !	¡ vete a la mierda !
jak se jmenuje tahle ulice ?	¿ cómo se llama esta calle ?
kéž bych dovedla hrát na klavír tak dobře jako susie .	ojalá pudiera tocar el piano tan bien como susie .
kéž bych se s ní byl oženil .	ojalá me hubiera casado con ella .
potřebuju něco pro dítě .	necesito algo para un niño .
můj syn dosud neumí číst ani psát .	mi hijo todavía no sabe leer ni escribir .
toto kolo patří mému bratrovi .	esta bicicleta le pertenece a mi hermano .
nesouhlasím s tebou .	no estoy de acuerdo contigo .
já s tebou nesouhlasím .	no estoy de acuerdo contigo .
nezapomeň spláchnout .	no olvides tirar de la cadena .
zloděje chytili dnes ráno .	cogieron al ladrón esta mañana .
dosud vidím tvář své matky .	todavía puedo ver la cara de mi madre .
on stále ještě pracuje .	él todavía está trabajando .
stále ještě je v práci .	él todavía está en el trabajo .
jenom se dívám .	sólo estoy mirando .
z čeho se vyrábí máslo ?	cómo se hace la mantequilla ?
potřebuješ naši pomoc ?	¿ necesitas nuestra ayuda ?
potřebujete ho .	lo necesita .
má něco v ruce .	ella tiene algo en la mano .
v tomto hotelovém pokoji můžete slyšet moře .	usted puede escuchar el sonido del mar en esta habitación de hotel .
neměl ses udělat tak rychle .	no deberías haber acabado tan pronto .
