proviamo a fare qualcosa !	¡ intentemos algo !
devo andare a dormire .	tengo que irme a dormir .
che stai facendo ?	¿ qué estás haciendo ?
che fai ?	¿ qué estás haciendo ?
cosa stai facendo ?	¿ qué estás haciendo ?
che cos ' è ?	¿ qué es eso ?
buon compleanno , muiriel !	¡ feliz cumpleaños , muiriel !
la parola d ' accesso è muiriel .	la contraseña es muiriel .
la password è muiriel .	la contraseña es muiriel .
ritorno presto .	volveré pronto .
ritornerò presto .	volveré pronto .
tornerò presto .	volveré pronto .
non ho parole .	no tengo palabras .
era un coniglietto cattivo .	era un conejo malo .
ero in montagna .	yo estaba en las montañas .
è una foto recente ?	¿ es una foto reciente ?
non so se ho tempo .	no sé si tengo tiempo .
il microfono , per qualche motivo , fino a quel momento non aveva funzionato .	por alguna razón , el micrófono no había funcionado hasta entonces .
l ' educazione in questo mondo mi delude .	la educación en este mundo me decepciona .
non cambierà niente .	eso no va a cambiar nada .
quello non succederà .	eso no va a pasar .
non ti preoccupare .	no te preocupes .
dovresti dormire .	deberías dormir .
non posso vivere così .	no puedo vivir así .
non mi è mai piaciuta la biologia .	nunca me gustó la biología .
è sfortunatamente vero .	desafortunadamente es verdad .
sei sicuro ?	¿ estás seguro ?
oh , là c ' è una farfalla !	¡ ah , allí hay una mariposa !
non mi sorprende .	no me sorprende .
è la cosa più stupida che abbia mai detto .	es la cosa más estúpida que he dicho nunca .
quando sarò grande , voglio essere un re .	cuando crezca , quiero ser un rey .
sono così grasso .	estoy tan gordo .
e allora ?	¿ entonces qué ?
non sono un vero pesce , non sono che un semplice pupazzo .	no soy un pez de verdad , sólo soy un peluche .
mi ci vorrebbe una vita per spiegare tutto .	me tomaría una eternidad explicarte todo .
è perché sei una ragazza .	eso es porque eres una chica .
penso che sia meglio non essere maleducati .	creo que lo mejor es no ser maleducado .
quando mi sono svegliato ero triste .	cuando me desperté estaba triste .
pensavo che ti piacesse imparare cose nuove .	yo pensaba que te gustaba aprender cosas nuevas .
se potessi inviarti un marshmallow , trang , lo farei .	si pudiera enviarte un malvavisco , trang , lo haría .
per farlo , bisogna correre dei rischi .	para hacer eso , tienes que arriesgarte .
perché lo chiedi ?	¿ por qué lo preguntas ?
non sono un artista . non ho mai avuto lo spirito per queste cose .	no soy un artista . nunca tuve mente para ello .
l ' innocenza è una cosa bella .	la inocencia es una cosa hermosa .
non sapevo da dove venisse .	no sabía de dónde venía eso .
non è importante .	no es importante .
chiede come sia possibile .	ella pregunta cómo es posible eso .
mi piacerebbe tanto andare in giappone .	deseo poder ir a japón .
non era mia intenzione .	no era mi intención .
grazie per la tua spiegazione .	gracias por tu explicación .
che cos ' è successo ?	¿ qué ocurrió ?
mi volevi parlare di libertà ?	¿ querías hablarme de libertad ?
ci sono molte parole che non capisco .	hay muchas palabras que no entiendo .
nessuno lo saprà .	nadie sabrá .
salvo che qui non è così semplice .	salvo que aquí no es tan simple .
che cos ' hai risposto ?	¿ qué has respondido ?
no , non è il mio nuovo ragazzo .	no , no es mi nuevo novio .
dov ' è il problema ?	¿ dónde está el problema ?
non posso far altro che aspettare .	sólo puedo esperar .
ti amo .	te quiero .
ti voglio .	te quiero .
non ti amo più .	ya no te quiero .
sono curioso .	tengo curiosidad .
sono curiosa .	tengo curiosidad .
congratulazioni !	¡ felicidades !
perché non vieni a trovarci ?	¿ por qué no vienes a visitarnos ?
non so più cosa fare .	ya no sé qué hacer .
detesto la chimica .	detesto la química .
non ho niente di meglio da fare .	no tengo nada mejor que hacer .
neanch ' io lo posso spiegare .	tampoco lo puedo explicar .
come potrei essere un robot ? i robot non sognano .	¿ cómo podría ser yo un robot ? si los robots no sueñan .
non so se ce l ' ho ancora .	no sé si todavía lo tengo .
cosa credi che stessi facendo ?	¿ qué piensas que estaba haciendo ?
come trovi del cibo nello spazio ?	¿ cómo encuentras comida en el espacio ?
tutti ti vogliono conoscere , sei famoso !	todos quieren conocerte . ¡ eres famoso !
qualsiasi cosa faccia , lei dice che posso fare meglio .	cualquier cosa que hago , ella dice que puedo hacerlo mejor .
non parlo giapponese .	no hablo japonés .
io non parlo giapponese .	no hablo japonés .
è un gioco di parole .	es un juego de palabras .
nessuno mi capisce .	nadie me entiende .
ho imparato a vivere senza di lei .	aprendí a vivir sin ella .
ho troppe cose per la testa in questi giorni .	tengo demasiadas cosas en la cabeza estos días .
non hai mai tempo per le cose importanti !	¡ nunca tienes tiempo para las cosas importantes !
non è possibile .	¡ no puede ser !
chi è ? è tua madre .	¿ quién es ? es tu madre .
qual è il tuo desiderio ? chiese il piccolo coniglio bianco .	— ¿ cuál es tu deseo ? —preguntó el pequeño conejo blanco .
un giorno correrò come il vento .	algún día correré como el viento .
ti prego , non piangere .	por favor , no llores .
allen è un poeta .	allen es un poeta .
l ' arciere uccise il cervo .	el arquero mató al ciervo .
come si scrive pretty ?	¿ cómo se escribe pretty ?
un milione di persone ha perso la vita durante la guerra .	un millón de personas perdieron la vida en la guerra .
oh , i miei pantaloni bianchi ! erano nuovi .	¡ oh , mis pantalones blancos ! eran nuevos .
quando ho lasciato la stazione , ho visto un uomo .	al salir de la estación vi a un hombre .
sei un angelo !	¡ eres un ángel !
ti sono mancato ?	¿ me has echado de menos ?
ti sono mancata ?	¿ me has echado de menos ?
sono tutti uguali ?	¿ son todos iguales ?
grazie mille !	¡ muchas gracias !
per favore , dove sono le uova ?	por favor , ¿ dónde están los huevos ?
è una sorpresa .	es una sorpresa .
andata e ritorno ? solo andata .	¿ ida y vuelta ? sólo ida .
mettere in forma dopo il lavaggio .	estirar después del lavado .
non aprire prima che il treno sia fermo .	no abrir antes de que pare el tren .
si dice che l ' amore è cieco .	se dice que el amor es ciego .
la matematica è come l ' amore - un ' idea semplice , che però può diventare complicata .	las mates son como el amor : una idea simple , pero puede complicarse .
