hasło to muiriel .	la contraseña es muiriel .
powinieneś się przespać .	deberías dormir .
ostatnia osoba , której opowiedziałem mój pomysł myślała , że zwariowałem .	la última persona a la que le conté mi idea pensó que yo estaba loco .
gdyby świat nie był jaki jest , mógłbym zaufać komukolwiek .	si el mundo no fuera como es , yo podría confiar en cualquiera .
niestety , to prawda .	desafortunadamente es verdad .
potrzebna wieczność , żeby wszystko wytłumaczyć .	me tomaría una eternidad explicarte todo .
jest wiele słów , których nie rozumiem .	hay muchas palabras que no entiendo .
będziesz w gazetach zanim się zorientujesz .	antes de que te des cuenta , saldrás en los periódicos .
nie możesz oczekiwać , że zawsze będę o wszystkim myśleć !	¡ no puedes esperar de mí que yo siempre piense en todo !
kiedy wrócisz ? wszystko zależy od pogody .	¿ cuándo volverás ? todo depende del clima .
ona lubi muzykę . i ja też .	a ella le gusta la música . a mí también .
jeśli nie jesz , umierasz .	si no comes , te mueres .
przykro mi , nie mogę zostać na długo .	lo siento , no puedo quedarme mucho tiempo .
w czasie wojny zginęło milion ludzi .	un millón de personas perdieron la vida en la guerra .
ponad miesiąc mieszkałem w nagoi .	he vivido más de un mes en nagoya .
miałeś szczęście , że cię nie ugryzł .	has tenido suerte de que no te haya mordido .
bardzo dziękuję !	¡ muchas gracias !
wielkie dzięki !	¡ muchas gracias !
kot ? - zapytał starzec .	¿ un gato ? preguntó el hombre viejo .
ach ! to wykrzyknik .	¡ ah ! es una interjección .
to nie moja wina !	¡ no es culpa mía !
zostaw mnie w spokoju !	¡ déjame en paz !
ile masz lat ?	¿ cuántos años tienes ?
czym byłby świat bez kobiet ?	¿ qué sería del mundo sin las mujeres ?
umieram z głodu !	¡ me muero de hambre !
chcieć to móc .	querer es poder .
życie jest piękne .	la vida es bella .
życie zaczyna się wtedy , kiedy zaczynasz wiedzieć , czego od niego chcesz .	la vida empieza cuando decides lo que esperas de ella .
dokąd idziesz ?	¿ adónde vas ?
ser to pokarm stały , zrobiony z mleka krów , kóz , owiec , i innych ssaków .	el queso es un alimento sólido elaborado a partir de la leche de vaca , cabra , oveja u otros mamíferos .
jeśli nie ma pan tego programu , można go teraz ściągnąć .	si usted no dispone de este programa puede descargarlo ahora .
wypełnij ten formularz , by dowiedzieć się , kim mogłeś być w poprzednim życiu .	completa el siguiente formulario para saber quién pudiste haber sido en tu anterior vida .
dlaczego tak trudno było ustalić , że neuron jest podstawową jednostką układu nerwowego ?	¿ por qué costó tanto establecer que la neurona era la unidad básica del tejido nervioso ?
to jest chłopiec , o którym myślę .	este es el chico en quien pienso .
jak możesz mieć laptop , a nie mieć telefonu komórkowego ?	¿ cómo puedes tener un ordenador portátil y no un móvil ?
florencja jest najpiękniejszym miastem włoch .	florencia es la ciudad más bonita de italia .
wolałbym zostać tutaj .	prefiero quedarme aquí mejor .
człowieka , którego żona nie żyje nazywa się wdowcem .	a un hombre cuya mujer está muerta , se llama un viudo .
proszę podaj mi rękę .	por favor échame una mano .
co robiła twoja matka kiedy wróciłeś do domu ?	¿ qué hacía tu madre cuando volviste a casa ?
odwiedziłem grób mojego ojca .	he visitado la tumba de mi padre .
moja ciotka ma troje dzieci .	mi tía tiene tres hijos .
nie wiem gdzie żyje .	no sé dónde vive .
kiedy zobaczyłem rysunek , przypomniała mi się historia .	cuando vi el dibujo , me acordé de la historia .
nie możesz zaparkować tutaj twojego samochodu .	no puedes aparcar tu coche aquí .
jak się czujesz ? zapytał on .	— ¿ cómo te sientes ? —preguntó él .
