vad gör du ?	¿ qué estás haciendo ?
tack för din förklaring .	gracias por tu explicación .
jag heter jack .	me llamo jack .
livet är vackert .	la vida es bella .
guld är mycket tyngre än vatten .	el oro es mucho más pesado que el agua .
dörren är öppen nu .	la puerta está abierta ahora .
jag har inga pengar men jag har drömmar .	no tengo dinero , pero tengo sueños .
min åsikt skiljer sig från din .	mi idea es distinta a la tuya .
jag är lärare .	yo soy profesor .
får jag äta detta ?	¿ puedo comer esto ?
tack !	¡ gracias !
hur har du det ?	¿ cómo estás ?
jag kan inte prata tyska .	no sé hablar alemán .
hur har du det ?	¿ qué tal ?
hur har du det ?	¿ cómo te va ?
vad är detta ?	¿ qué es esto ?
vem har skrivit denna bok ?	¿ quién escribió este libro ?
jag har tråkigt .	estoy aburrido .
jag är törstig .	tengo sed .
den är för liten .	es demasiado pequeño .
det är för litet .	es demasiado pequeño .
jag studerar koreanska .	estudio coreano .
är du inte trött ?	¿ no estás cansado ?
hej världen !	¡ hola mundo !
träden är gröna .	los árboles son verdes .
tack för informationen .	gracias por la información .
han känner många människor .	él conoce a mucha gente .
han kysste mig på pannan .	él me besó en la frente .
vilken är din gitarr ?	¿ cuál es tu guitarra ?
han gräver sin egen grav .	está cavando su propia tumba .
jag älskar arabiska .	me encanta el árabe .
vi behöver pengar .	necesitamos dinero .
jag håller inte med .	no estoy de acuerdo .
hon är på intet vis självisk .	ella no es nada egoísta .
min hund är vit .	mi perro es blanco .
det här är en turkisk tradition .	ésta es una tradición turca .
ett år har tolv månader .	un año tiene doce meses .
det finns en sjö öster om byn .	hay un lago al este del pueblo .
nu är jag på flygplatsen .	estoy ahora en el aeropuerto .
i begynnelsen skapade gud himmel och jord .	en el principio creó dios los cielos y la tierra .
jag hör till basebollaget .	pertenezco al equipo de béisbol .
hur lärde du känna henne ?	¿ cómo la conociste ?
hon spelar piano varje dag .	ella toca el piano todos los días .
min åsikt skiljer sig från din .	mi opinión es distinta de la tuya .
vad man icke kan tala om , därom måste man tiga .	lo que no se puede decir hay que callarlo .
jag tar den gula .	me llevo el amarillo .
guldpriset ändras dagligen .	el precio del oro fluctúa diariamente .
jag har en god idé .	tengo una buena idea .
vad har fört dig hit ?	¿ qué te ha traído acá ?
jag älskar min mamma .	quiero a mi mamá .
han drunknade i floden .	él se ahogó en el río .
han gräver sin egen grav .	él está cavando su propia tumba .
vems rum är det här ?	¿ de quién es esta habitación ?
var är ingången ?	¿ dónde está la entrada ?
var är utgången ?	¿ dónde está la salida ?
behöver du pengar ?	¿ necesitas dinero ?
varför var du där ?	¿ por qué estabas allá ?
min fru hatar katter .	mi mujer odia los gatos .
jag har en vän i england .	yo tengo un amigo en inglaterra .
han är min bror , inte min far .	él es mi hermano , no mi padre .
jag måste bege mig nu .	ya me tengo que ir .
jag heter hopkins .	me llamo hopkins .
han säger att han älskar blommorna .	dice que le encantan las flores .
hon säger att hon älskar blommorna .	dice que le encantan las flores .
jag är arbetslös .	estoy en paro .
han väntade på sin tur .	esperó su turno .
jag måste bege mig nu .	ahora tengo que irme .
han spelade piano .	él estaba tocando el piano .
det finns få webbsidor på tatariska på internet .	hay pocos sitios en tártaro en internet .
jag måste bege mig nu .	debo irme ahora .
jag kan inte .	no puedo .
hans far vigde sitt liv åt vetenskapen .	su padre dedicó su vida a la ciencia .
min bil står till ditt förfogande .	mi coche está a tu disposición .
vad gjorde kumi ?	¿ qué hizo kumi ?
är du nöjd med ditt nya hus ?	¿ estás contento con tu nueva casa ?
fram tills nu har de jobbat mycket hårt .	hasta ahora han trabajado muy duro .
gillar du fisk ?	¿ te gusta el pescado ?
jag måste bege mig nu .	me tengo que ir .
